127.0.0.1 - - [05/Dec/2018:10:08:34 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:38 +0530] "GET /Blog-ver1/CSS.jsp HTTP/1.1" 200 14887
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:38 +0530] "GET /Blog-ver1/asset/css/style.css HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:38 +0530] "GET /Blog-ver1/asset/vendors/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:38 +0530] "GET /Blog-ver1/asset/vendors/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:38 +0530] "GET /Blog-ver1/assest/css/style.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:38 +0530] "GET /Blog-ver1/assest/css/bootstrap/bootstrap.min.css HTTP/1.1" 404 1138
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:38 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:38 +0530] "GET /Blog-ver1/asset/vendors/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:38 +0530] "GET /Blog-ver1/Capture.PNG HTTP/1.1" 200 293247
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:38 +0530] "GET /Blog-ver1/yash-logo.svg HTTP/1.1" 200 20750
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:38 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:38 +0530] "GET /Blog-ver1/assest/css/style.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:38 +0530] "GET /Blog-ver1/assest/css/bootstrap/bootstrap.min.css HTTP/1.1" 404 1138
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:39 +0530] "GET /Blog-ver1/assets/images/favicon.ico HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:58 +0530] "GET /Blog-ver1/CSSController?category_id=2 HTTP/1.1" 500 1633
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:08:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:09:04 +0530] "GET /Blog-ver1/HTMLController?category_id=1 HTTP/1.1" 500 1635
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:09:30 +0530] "GET /Blog-ver1/CSS.jsp HTTP/1.1" 200 14887
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:09:30 +0530] "GET /Blog-ver1/assest/css/style.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:09:30 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:09:30 +0530] "GET /Blog-ver1/assest/css/bootstrap/bootstrap.min.css HTTP/1.1" 404 1138
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:09:30 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:09:30 +0530] "GET /Blog-ver1/assest/css/bootstrap/bootstrap.min.css HTTP/1.1" 404 1138
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:09:30 +0530] "GET /Blog-ver1/assest/css/style.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:10:59 +0530] "GET /Blog-ver1/asset/css/post-style.css HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:12 +0530] "GET /Blog-ver1/asset/css/profile-design.css HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:28 +0530] "GET /Blog-ver1/allpost.jsp HTTP/1.1" 200 5367
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:28 +0530] "GET /Blog-ver1/asset/group2/css/style1.css HTTP/1.1" 200 5021
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:28 +0530] "GET /Blog-ver1/asset/group2/vendors/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:28 +0530] "GET /Blog-ver1/asset/group2/vendors/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:28 +0530] "GET /Blog-ver1/asset/group2/css/style.css HTTP/1.1" 200 3346
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:28 +0530] "GET /Blog-ver1/asset/group2/js/custom-script.js HTTP/1.1" 200 4961
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:29 +0530] "GET /Blog-ver1/asset/group2/vendors/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:29 +0530] "GET /Blog-ver1/asset/group2/images/yash-logo.svg HTTP/1.1" 200 20750
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:29 +0530] "GET /Blog-ver1/asset/group2/images/drop-down-arrow.svg HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:29 +0530] "GET /Blog-ver1/asset/group2/images/cancel.svg HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:29 +0530] "GET /Blog-ver1/asset/group2/images/favicon.ico HTTP/1.1" 200 5686
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:40 +0530] "GET /Blog-ver1/ListBlogController HTTP/1.1" 500 1714
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:44 +0530] "GET /Blog-ver1/addnewblog.jsp HTTP/1.1" 200 5665
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:44 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:44 +0530] "GET /Blog-ver1/asset/css/style3.css HTTP/1.1" 200 4076
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:44 +0530] "GET /Blog-ver1/asset/images/yash-logo.svg HTTP/1.1" 200 20750
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:44 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:47 +0530] "GET /Blog-ver1/ListCategoryController HTTP/1.1" 500 1740
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:51 +0530] "GET /Blog-ver1/ListBlogController HTTP/1.1" 500 1714
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:11:53 +0530] "GET /Blog-ver1/ListBlogController HTTP/1.1" 500 1714
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:12:14 +0530] "GET /Blog-ver1/homePage.jsp HTTP/1.1" 500 2363
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:12:22 +0530] "GET /Blog-ver1/home2.jsp HTTP/1.1" 200 14887
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:12:22 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:12:22 +0530] "GET /Blog-ver1/assest/css/style.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:12:22 +0530] "GET /Blog-ver1/assest/css/bootstrap/bootstrap.min.css HTTP/1.1" 404 1138
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:12:23 +0530] "GET /Blog-ver1/asset/js/script.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:12:23 +0530] "GET /Blog-ver1/assest/css/style.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:12:23 +0530] "GET /Blog-ver1/assest/css/bootstrap/bootstrap.min.css HTTP/1.1" 404 1138
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:12:31 +0530] "GET /Blog-ver1/login.jsp HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:12:37 +0530] "GET /Blog-ver1/UserLoginController?email=a%40a&password=1 HTTP/1.1" 500 1657
0:0:0:0:0:0:0:1 - - [05/Dec/2018:10:13:16 +0530] "GET /Blog-ver1/UserLoginController?email=a%40a&password=1 HTTP/1.1" 500 1657
